"player","pos","sprint","bench","bar","pdhgt","overall_pick","games","win_shares"
"Lester Hudson","PG",3.16,12,1.125,134.5,58,57,0.2
"Lonny Baxter","PF-C",3.21,14,1.093,140,44,162,2.9
"Loren Woods","C-PF",3.48,10,1.056,141,46,215,3.1
"Lorenzo Brown","PG",3.4,8,1.039,134,52,103,-0.2
"Luis Flores","PG-SG",3.1,15,1.097,130.5,55,16,0
"Luke Babbitt","SF-PF",3.4,15,1.047,142,16,381,7.2
"Luke Harangody","PF",3.41,23,1.045,134.5,52,70,0.9
"Luke Jackson","SF-SG",3.24,13,1.032,139,10,73,0.2
"Luke Ridnour","PG",3.28,0,1.027,128,14,830,36
"Luol Deng","SF",3.34,5,1.07,140,7,902,74
"Luther Head","PG-SG",3.21,14,1.044,137,24,348,14.7
"Malcolm Lee","SG",3.09,17,1.076,137,43,36,0.4
"Malik Hairston","SG",3.08,13,1.062,141.5,48,62,0.8
"Marcin Gortat","PF-C",3.33,18,1.054,146,57,806,61.3
"Marcus Haislip","PF",3.21,8,1.043,143.5,13,89,0.5
"Marcus Morris","PF-SF",3.15,11,1.038,138.5,14,718,36.4
"Marcus Thornton","PG-SG",3.02,3,1.081,140.5,43,483,20
"Marcus Williams","PG",3.4,4,1.068,125.5,22,203,0
"Marcus Williams","PG",3.4,4,1.068,125.5,33,13,-0.1
"Mardy Collins","PG-SG",3.27,9,1.075,140.5,29,189,-1.6
"Marial Shayok","SF-PF",3.37,9,1.101,140,54,4,-0.1
"Mark Madsen","PF",3.46,13,1.056,138,29,453,8.2
"Markieff Morris","PF",3.4,11,1.038,138,13,715,27.1
"Marquis Teague","PG",3.19,8,1.086,137,29,91,-0.9
"Martell Webster","SF",3.39,7,1.064,136.5,6,580,24.7
"Marvin Williams","PF-SF",3.17,12,1.108,143,2,1072,65.1
"Mason Plumlee","C-PF",3.29,14,0.997,144,22,661,44.2
"Matt Barnes","SF",3.28,11,1.029,137,46,929,42.8
"Matt Bonner","PF-SF",3.32,20,1.003,137.5,45,792,38.5
"Matt Freije","SF-PF",3.25,13,1.059,139.5,53,42,-0.6
"Maurice Ager","SG-PG",3.22,11,1.06,136.5,28,82,-0.9
"Maurice Harkless","SF",3.25,5,1.06,139.5,15,621,23
"Melvin Ely","PF",3.35,7,1.086,140,12,375,4
"Melvin Frazier","SF-SG",3.08,0,1.121,145.5,35,32,-0.4
"Meyers Leonard","C",3.41,19,1.039,140.5,11,447,15.5
"Mfiondu Kabengele","PF",3.25,6,1.077,145,27,51,0.4
"Michael Beasley","PF-SF",3.24,19,1.066,142,2,609,15.6
"Michael Bradley","PF",3.35,13,1.049,137,17,173,2
"Michael Carter-Williams","PG",3.22,8,1.033,142,11,391,6.6
"Michael Kidd-Gilchrist","SF",3.18,6,1.08,140,2,446,21
"Michael Redd","SG-SF",3.34,12,1.055,133,43,629,55.9
"Mike Conley","PG",3.09,13,1.095,135,4,958,86.8
"Mike Dunleavy","SF",3.3,11,1.013,135,3,986,58.5
"Mike Muscala","C-PF",3.44,5,1.033,141.5,44,432,16.6
"Mike Scott","PF",3.44,14,1.044,136.5,43,555,16.8
"Mike Smith","SF",3.22,12,1.025,124,35,17,-0.1
"Mike Taylor","SG-PG",3.08,2,1.089,137,55,51,-0.4
"Miles Plumlee","PF-C",3.36,15,1.027,146,26,346,10.6
"Miye Oni","SG",3.17,19,1.085,139,58,80,1
"Monta Ellis","SG-PG",3.31,0,1.007,129.5,40,833,41.9
"Monte Morris","PG",3.19,8,1.038,130,51,280,18.5
"Moritz Wagner","C-PF",3.18,8,1.018,142,25,196,5.9
"Morris Almond","SG-SF",3.19,13,1.068,138,25,38,0
"Mouhamed Sene","C",3.38,7,1.114,144,10,47,0.3
"Nassir Little","SF",3.24,5,1.114,143,25,138,3.4
"Nate Robinson","PG",2.96,13,1.077,135,21,618,27.8
"Nick Collison","PF",3.28,8,1.059,141,12,910,44.5
"Nick Young","SG-SF",3.25,6,1.091,141,16,720,18.6
"Nigel Williams-Goss","PG",3.19,10,1.078,133.5,55,10,0
"Nolan Smith","PG",3.17,9,1.054,133,21,84,-0.8
"Norman Powell","SG",3.2,5,1.103,143,46,421,19.5
"Norris Cole","PG",3.22,11,1.028,134,28,360,3
"O.J. Mayo","SG-PG",3.14,7,1.037,140.5,3,547,21.8
"Omar Cook","PG",3.2,9,1.084,127.5,32,22,-0.1
"Omari Spellman","PF-C",3.38,8,1.075,143,30,95,2.4
"Omri Casspi","SF",3.28,2,1.019,139,23,588,19.6
"Orlando Johnson","SG",3.25,13,1.099,138.5,36,103,1.4
"Pape Sow","PF-C",3.27,18,1.068,140,47,76,0.8
"Pat Connaughton","SG",3.2,13,1.053,140,41,417,18.1
"Patrick O'Bryant","C",3.63,13,1.081,143,9,90,0.5
"Patrick Patterson","PF",3.25,17,1.066,140.5,14,719,31.9
"Patty Mills","PG",3.1,8,1.039,128,55,820,35.3
"Paul Millsap","PF",3.3,15,1.093,138,47,1085,95.4
"Pavel Podkolzin","C",3.8,5,1.026,138.5,21,6,-0.1
"Perry Jones","PF-SF",3.19,11,1.043,145.5,28,143,1.7
"Peyton Siva","PG",3.16,15,1.049,134.5,56,24,-0.2
"Quincy Acy","PF",3.28,13,1.105,143.5,37,337,8.7
"Quincy Miller","SF",3.48,8,1.056,141,38,69,-0.1
"Qyntel Woods","SF-SG",3.23,2,1.038,139.5,21,167,1.4
"R.J. Hunter","SG",3.26,1,1.078,137.5,28,45,0.4
"Rakeem Christmas","PF-C",3.47,9,1.112,142.5,36,30,0.5
"Ramon Sessions","PG",3.27,8,1.03,131,56,691,28.8
"Randy Foye","SG-PG",3.23,14,1.054,135,7,752,23.5
"Randy Holcomb","SF-PF",3.22,15,1.076,140.5,57,4,0
"Rashad McCants","SG",3.11,15,1.107,138,14,249,3.6
"Rashad Vaughn","SG",3.21,5,1.043,135,17,139,-0.6
"Rasual Butler","SF",3.29,10,1.067,143,53,809,20.8
"Ray McCallum","PG",3.25,5,1.042,136.5,36,154,2.1
