"player","sprint","bench","wngspan_hgt","jumping_reach","overall_pick","games","win_shares","genpos"
"Isaiah Roby",3.25,9,1.073,141.5,45,109,4.1,"Big"
"Isaiah Thomas",3.14,13,1.073,131.5,60,550,45.3,"Guard"
"Ivan Rabb",3.35,3,1.059,141.5,35,85,3.2,"Big"
"J.R. Smith",3.21,5,1.058,139.5,18,977,46.3,"Wing"
"Jackson Vroman",3.25,12,1.034,139,31,87,0,"Big"
"Jacob Evans",3.2,8,1.066,138,28,59,-0.6,"Wing"
"Jae Crowder",3.37,20,1.059,134,34,735,40.2,"Wing"
"JaJuan Johnson",3.14,15,1.062,145.5,27,36,0.2,"Big"
"Jalen Brunson",3.15,7,1.041,133,33,277,17.3,"Guard"
"Jalen McDaniels",3.32,0,1.05,139,52,118,3.4,"Wing"
"Jamaal Tinsley",3.2,1,1.093,135,27,547,17.2,"Guard"
"Jameer Nelson",3.14,15,1.049,128.5,20,878,48.3,"Guard"
"James Anderson",3.19,14,1.049,139.5,20,247,3.3,"Wing"
"James Augustine",3.25,13,1.05,136.5,41,27,0.3,"Big"
"James Harden",3.13,17,1.089,140.5,3,942,149.6,"Guard"
"James Johnson",3.23,18,1.073,140.5,16,747,27.5,"Wing"
"James Jones",3.19,9,1.091,140.5,49,709,25.2,"Wing"
"James Lang",3.55,8,1.125,142,48,11,0.1,"Big"
"Jamison Brewer",3.15,12,1.084,135,41,54,0,"Guard"
"Jared Dudley",3.45,14,1.026,134,22,904,43,"Wing"
"Jared Jeffries",3.4,9,1.03,139,11,629,13.1,"Big"
"Jared Sullinger",3.81,9,1.069,136.5,21,269,15.3,"Big"
"Jarell Martin",3.27,19,1.013,141.5,25,184,3.2,"Big"
"Jaron Blossomgame",3.17,16,1.055,140,59,27,0.3,"Wing"
"Jarrett Allen",3.21,4,1.102,145,22,341,34.9,"Big"
"Jarrett Jack",3.24,5,1.067,128.5,22,867,36.8,"Guard"
"Jarron Collins",3.6,10,1.071,133,53,542,15.7,"Big"
"Jarvis Varnado",3.37,3,1.09,142,41,37,0.7,"Big"
"Jason Collins",3.54,8,1.076,138.5,18,735,20.1,"Big"
"Jason Hart",3.34,9,1.058,131,49,341,8.6,"Guard"
"Jason Kapono",3.38,8,1,132,31,509,10.3,"Wing"
"Jason Richardson",3.12,15,1.088,142,5,857,59.1,"Wing"
"Jason Smith",3.29,15,1,143.5,20,616,14.1,"Big"
"JaVale McGee",3.25,7,1.084,147,18,821,42.4,"Big"
"Javaris Crittenton",3.32,11,1.033,136,19,113,0.1,"Guard"
"Jawun Evans",3.21,1,1.095,128.5,39,56,-0.4,"Guard"
"Jaxson Hayes",3.37,5,1.064,145,8,194,12.5,"Big"
"Jay Williams",3.09,10,1.045,133,2,75,0.8,"Guard"
"Jaylen Nowell",3.23,2,1.053,136.5,43,119,3.7,"Guard"
"Jeff Ayres",3.14,15,1.053,142,31,237,6.3,"Big"
"Jeff Green",3.34,17,1.079,141,5,1051,50.3,"Wing"
"Jeff Taylor",3.29,15,1.003,141.5,31,132,1.3,"Wing"
"Jeff Teague",3.18,13,1.1,135,19,826,52.4,"Guard"
"Jeff Withey",3.47,10,1.039,139.5,39,206,6.8,"Big"
"Jeremy Lamb",3.25,5,1.092,140,12,573,26.8,"Guard"
"Jeremy Tyler",3.29,10,1.099,144,39,104,0.3,"Big"
"Jermaine Taylor",3.32,16,1.07,138.5,32,65,0.2,"Guard"
"Jermareo Davidson",3.53,7,1.086,139.5,36,52,0,"Big"
"Jerome Beasley",3.25,10,1.043,139,33,2,0,"Wing"
"Jerryd Bayless",3.07,10,1.024,135,11,586,18.6,"Guard"
"Jeryl Sasser",3.22,1,1.065,137.5,22,82,0.7,"Guard"
"Jevon Carter",3.18,14,1.055,131.5,32,223,4.5,"Guard"
"Jimmy Butler",3.15,14,1.019,140.5,30,690,93.6,"Wing"
"Joakim Noah",3.47,12,1.04,144,9,672,61.9,"Big"
"Jodie Meeks",3.1,14,1.02,135,41,539,24.3,"Guard"
"Joe Alexander",2.99,24,1.054,144.5,8,67,0.5,"Wing"
"Joe Crawford",3.22,13,1.037,135.5,58,2,0,"Guard"
"Joe Johnson",3.4,12,1.029,141.5,10,1277,82.9,"Wing"
"Joey Dorsey",3.2,19,1.096,140,33,130,2.9,"Big"
"Joey Graham",3.05,26,1.036,140,16,377,7.8,"Wing"
"John Collins",3.27,15,1.037,144,19,293,28.1,"Big"
"John Jenkins",3.37,10,1.07,134.5,23,171,3,"Guard"
"John Salmons",3.25,12,1.061,138.5,26,895,33.9,"Wing"
"Jon Leuer",3.36,14,1.024,142,40,377,13.2,"Big"
"Jonny Flynn",3.23,10,1.067,135.5,6,163,-1.1,"Guard"
"Jordan Bell",3.21,16,1.06,142.5,38,161,4.9,"Big"
"Jordan Bone",3.08,7,1.024,137.5,57,24,0.1,"Guard"
"Jordan Crawford",3.37,7,1.053,135.5,27,281,6.3,"Guard"
"Jordan Farmar",3.17,11,1.031,136.5,26,504,13.9,"Guard"
"Jordan Hamilton",3.3,7,1.035,136,26,151,3,"Wing"
"Jordan Hill",3.3,11,1.052,143,8,409,16.4,"Big"
"Jordan Mickey",3.28,9,1.104,143.5,33,64,0.5,"Big"
"Jordan Williams",3.45,10,1.056,137,36,43,1.3,"Big"
"Joseph Forte",3.19,10,1.04,133.5,21,25,-0.4,"Guard"
"Josh Childress",3.38,11,1.068,141,6,391,25.7,"Wing"
"Josh Hart",3.18,9,1.059,136.5,30,296,15.7,"Wing"
"Josh Howard",3.09,4,1.113,142,29,507,38,"Wing"
"Josh McRoberts",3.47,12,1.063,138,37,433,18.5,"Big"
"Josh Okogie",3.04,12,1.12,144,20,244,5.3,"Guard"
"Josh Selby",3.2,5,1.047,140,49,38,-0.7,"Guard"
